Funcion,Algoritmo,Mejor Aptitud,Tiempo
rosenbrock,Algoritmo Genetico,9.0,1.7939999103546143
rosenbrock,Recocido Simulado (Logaritmico),103.0,0.0010001659393310547
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.013000249862670898
rosenbrock,Algoritmo Genetico,0.0,1.8086175918579102
rosenbrock,Recocido Simulado (Logaritmico),203.0,0.0009946823120117188
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.013966798782348633
rosenbrock,Algoritmo Genetico,0.0,1.7995131015777588
rosenbrock,Recocido Simulado (Logaritmico),207.0,0.0
rosenbrock,Recocido Simulado (Decremento Lento),9.0,0.01299905776977539
rosenbrock,Algoritmo Genetico,0.0,1.7995128631591797
rosenbrock,Recocido Simulado (Logaritmico),304.0,0.0010004043579101562
rosenbrock,Recocido Simulado (Decremento Lento),9.0,0.013999700546264648
rosenbrock,Algoritmo Genetico,0.0,1.8109962940216064
rosenbrock,Recocido Simulado (Logaritmico),106.0,0.0010344982147216797
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.013999700546264648
rosenbrock,Algoritmo Genetico,0.0,1.792426347732544
rosenbrock,Recocido Simulado (Logaritmico),405.0,0.0010004043579101562
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.013999223709106445
rosenbrock,Algoritmo Genetico,0.0,1.8905441761016846
rosenbrock,Recocido Simulado (Logaritmico),204.0,0.00099945068359375
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.01700305938720703
rosenbrock,Algoritmo Genetico,0.0,1.9570307731628418
rosenbrock,Recocido Simulado (Logaritmico),303.0,0.0010025501251220703
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.01596355438232422
rosenbrock,Algoritmo Genetico,0.0,2.0523691177368164
rosenbrock,Recocido Simulado (Logaritmico),202.0,0.0010008811950683594
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.01599860191345215
rosenbrock,Algoritmo Genetico,0.0,2.1989998817443848
rosenbrock,Recocido Simulado (Logaritmico),106.0,0.0009996891021728516
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.019002914428710938
rosenbrock,Algoritmo Genetico,0.0,2.2575085163116455
rosenbrock,Recocido Simulado (Logaritmico),105.0,0.0010001659393310547
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.021001815795898438
rosenbrock,Algoritmo Genetico,0.0,2.2439982891082764
rosenbrock,Recocido Simulado (Logaritmico),304.0,0.0
rosenbrock,Recocido Simulado (Decremento Lento),0.0,0.019004344940185547
